texto,delito,arma,departamento,municipio,genero,edad
"Me llamaron exigiendo dinero para no atentar contra mi familia,""Extorsión"",""Llamada"",""Cesar"",""Valledupar"",""Masculino"",""Adulto"""
"Me pidieron dinero a cambio de no publicar información mía,""Extorsión"",""Redes"",""Cundinamarca"",""Cajicá"",""Masculino"",""Adulto"""
"Estoy recibiendo amenazas para que pague una suma de dinero,""Extorsión"",""Desconocido"",""Risaralda"",""Dosquebradas"",""Masculino"",""Adulto"""
"Me exigieron dinero bajo amenazas por teléfono,""Extorsión"",""Llamada"",""Chocó"",""Quibdó"",""Femenino"",""Adulto"""
"Me están extorsionando pidiéndome dinero por mensajes,""Extorsión"",""Redes"",""Meta"",""Fuente de Oro"",""Femenino"",""Adulto"""
"Un grupo me exige dinero para no hacerme daño,""Extorsión"",""Desconocido"",""Cauca"",""Santander de Quilichao"",""Femenino"",""Adulto"""
"Me pidieron dinero a cambio de mi seguridad,""Extorsión"",""Desconocido"",""Huila"",""Neiva"",""Femenino"",""Adulto"""
"Una persona me exige plata para no hacerme daño,""Extorsión"",""Desconocido"",""Magdalena"",""Santa Marta"",""Masculino"",""Adulto"""
"Me solicitaron dinero bajo amenaza directa,""Extorsión"",""Presencial"",""Cauca"",""Patía"",""Femenino"",""Adulto"""
"Estoy siendo extorsionado con exigencias de dinero,""Extorsión"",""Desconocido"",""Cundinamarca"",""Bogotá D.C."",""Masculino"",""Adulto"""
"Me están pidiendo dinero por llamadas amenazantes,""Extorsión"",""Llamada"",""Meta"",""Villavicencio"",""Masculino"",""Adulto"""
"Me exigieron dinero para no hacerme daño,""Extorsión"",""Desconocido"",""Huila"",""Tesalia"",""Femenino"",""Adulto"""
"Recibo amenazas constantes exigiendo un pago,""Extorsión"",""Desconocido"",""Bolívar"",""Cartagena"",""Masculino"",""Adulto"""
"Un hombre fue asesinado con un arma blanca en vía pública,""Homicidio"",""Arma blanca"",""Cundinamarca"",""Bogotá D.C."",""Masculino"",""Adulto"""
"Una persona perdió la vida tras ser atacada con arma cortopunzante,""Homicidio"",""Arma blanca"",""Risaralda"",""Pereira"",""Masculino"",""Adulto"""
"Un hombre fue asesinado con arma blanca dentro de su vivienda,""Homicidio"",""Arma blanca"",""Bolívar"",""Cartagena"",""Masculino"",""Adulto"""
"Un ciudadano falleció tras una agresión con arma blanca,""Homicidio"",""Arma blanca"",""Santander"",""Sabana de Torres"",""Masculino"",""Adulto"""
"Un hombre murió luego de ser atacado con objeto cortopunzante,""Homicidio"",""Arma blanca"",""Cauca"",""Popayán"",""Masculino"",""Adulto"""
"Un ciudadano fue asesinado con arma blanca en un barrio residencial,""Homicidio"",""Arma blanca"",""Atlántico"",""Barranquilla"",""Masculino"",""Adulto"""
"Una persona fue víctima de homicidio con arma blanca,""Homicidio"",""Arma blanca"",""Huila"",""Neiva"",""Masculino"",""Adulto"""
"Un hombre fue asesinado durante una riña con arma blanca,""Homicidio"",""Arma blanca"",""Casanare"",""Villanueva"",""Masculino"",""Adulto"""
"Un ciudadano murió por heridas causadas por arma blanca,""Homicidio"",""Arma blanca"",""Huila"",""Garzón"",""Masculino"",""Adulto"""
"Un hombre fue asesinado en zona urbana por ataque con cuchillo,""Homicidio"",""Arma blanca"",""Bolívar"",""Norosí"",""Masculino"",""Adulto"""
"Una persona perdió la vida tras agresión con arma blanca,""Homicidio"",""Arma blanca"",""Santander"",""Rionegro"",""Masculino"",""Adulto"""
"Un ciudadano fue hallado sin vida luego de ataque con arma blanca,""Homicidio"",""Arma blanca"",""Caquetá"",""Florencia"",""Masculino"",""Adulto"""
"Una mujer fue víctima de homicidio con arma blanca,""Homicidio"",""Arma blanca"",""Valle"",""Palmira"",""Femenino"",""Adulto"""
"Un hombre murió tras ser atacado con arma blanca en zona rural,""Homicidio"",""Arma blanca"",""Antioquia"",""Zaragoza"",""Masculino"",""Adulto"""
"Un ciudadano fue asesinado con arma blanca en vía pública,""Homicidio"",""Arma blanca"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Un hombre falleció tras un accidente de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Santander"",""Barbosa"",""Masculino"",""Adulto"""
"Una persona murió luego de un siniestro vial,""Homicidio en accidente de tránsito"",""No reportado"",""Tolima"",""Natagaima"",""Masculino"",""Adulto"""
"Un ciudadano perdió la vida en un accidente de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Tolima"",""Guamo"",""Masculino"",""Adulto"""
"Un hombre falleció tras ser víctima de un hecho vial,""Homicidio en accidente de tránsito"",""No reportado"",""Córdoba"",""Canalete"",""Masculino"",""Adulto"""
"Una persona murió en un accidente de tránsito en zona urbana,""Homicidio en accidente de tránsito"",""No reportado"",""Córdoba"",""Montería"",""Masculino"",""Adulto"""
"Un ciudadano perdió la vida luego de un choque entre vehículos,""Homicidio en accidente de tránsito"",""Vehículo"",""Bolívar"",""Arroyohondo"",""Masculino"",""Adulto"""
"Un hombre falleció tras un accidente vial en zona rural,""Homicidio en accidente de tránsito"",""No reportado"",""Antioquia"",""Jardín"",""Masculino"",""Adulto"""
"Una persona murió en un siniestro de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Valle"",""Buenaventura"",""Masculino"",""Adulto"""
"Un ciudadano falleció tras un accidente en la vía,""Homicidio en accidente de tránsito"",""No reportado"",""Santander"",""Bucaramanga"",""Masculino"",""Adulto"""
"Un hombre murió luego de un hecho de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Una mujer perdió la vida tras un accidente vial,""Homicidio en accidente de tránsito"",""No reportado"",""Córdoba"",""Ciénaga de Oro"",""Femenino"",""Adulto"""
"Una mujer falleció luego de un siniestro de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Antioquia"",""Bello"",""Femenino"",""Adulto"""
"Un adolescente murió en un accidente de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Tolima"",""Lérida"",""Femenino"",""Adolescente"""
"Un joven perdió la vida en un hecho vial,""Homicidio en accidente de tránsito"",""No reportado"",""Cauca"",""Caloto"",""Masculino"",""Adolescente"""
"Una mujer falleció tras un accidente de tránsito,""Homicidio en accidente de tránsito"",""No reportado"",""Valle"",""Cali"",""Femenino"",""Adulto"""
"Un hombre fue víctima de hurto en su vivienda,""Hurto a residencias"",""No reportado"",""Cundinamarca"",""Bogotá D.C."",""Masculino"",""Adulto"""
"Se registró un hurto en una residencia,""Hurto a residencias"",""No reportado"",""Cauca"",""Puracé"",""Masculino"",""Adulto"""
"Un ciudadano denunció el hurto de objetos desde su casa,""Hurto a residencias"",""No reportado"",""Antioquia"",""Sabaneta"",""Masculino"",""Adulto"""
"Una vivienda fue objeto de hurto en zona urbana,""Hurto a residencias"",""No reportado"",""Antioquia"",""Medellín"",""Femenino"",""Adulto"""
"Se presentó un caso de hurto en una residencia,""Hurto a residencias"",""No reportado"",""Cundinamarca"",""Bogotá D.C."",""Masculino"",""Adulto"""
"Delincuentes ingresaron a una vivienda y hurtaron pertenencias,""Hurto a residencias"",""Sin arma"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Una mujer reportó hurto en su domicilio,""Hurto a residencias"",""No reportado"",""Cundinamarca"",""Bogotá D.C."",""Femenino"",""Adulto"""
"Se denunció un hurto en una casa del sector,""Hurto a residencias"",""No reportado"",""Cesar"",""El Paso"",""Masculino"",""Adulto"""
"Un ciudadano fue afectado por el hurto a su residencia,""Hurto a residencias"",""No reportado"",""Magdalena"",""Santa Marta"",""Masculino"",""Adulto"""
"Se presentó un robo dentro de una vivienda,""Hurto a residencias"",""No reportado"",""Santander"",""Puente Nacional"",""Femenino"",""Adulto"""
"Una casa fue víctima de hurto mediante acceso no autorizado,""Hurto a residencias"",""Llave maestra"",""Cundinamarca"",""Bogotá D.C."",""Femenino"",""Adulto"""
"Delincuentes sustrajeron bienes de una residencia,""Hurto a residencias"",""Palanca"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Se reportó hurto en una vivienda familiar,""Hurto a residencias"",""No reportado"",""Nariño"",""Buesaco"",""Masculino"",""Adulto"""
"Una mujer denunció hurto en su casa,""Hurto a residencias"",""No reportado"",""Magdalena"",""Ariguaní"",""Femenino"",""Adulto"""
"Se registró un hurto en una vivienda del municipio,""Hurto a residencias"",""No reportado"",""Tolima"",""Ibagué"",""Femenino"",""Adulto"""
"Fue hurtado un vehículo estacionado en vía pública,""Hurto a automotores"",""No reportado"",""Tolima"",""Lérida"",""Masculino"",""Adulto"""
"Un automotor fue robado en el municipio,""Hurto a automotores"",""No reportado"",""Guajira"",""Maicao"",""Masculino"",""Adulto"""
"Se presentó el hurto de un automóvil en zona urbana,""Hurto a automotores"",""No reportado"",""Valle"",""Cali"",""Masculino"",""Adulto"""
"Delincuentes hurtaron un vehículo particular,""Hurto a automotores"",""No reportado"",""Magdalena"",""Santa Marta"",""Femenino"",""Adulto"""
"Se reportó el robo de una motocicleta,""Hurto a automotores"",""No reportado"",""Cundinamarca"",""Bogotá D.C."",""Masculino"",""Adulto"""
"Un ciudadano denunció el hurto de su carro,""Hurto a automotores"",""No reportado"",""Cauca"",""Piendamó"",""Masculino"",""Adulto"""
"Fue robado un vehículo mediante acceso no autorizado,""Hurto a automotores"",""Llave maestra"",""Cundinamarca"",""Bogotá D.C."",""Femenino"",""Adulto"""
"Se presentó hurto de automotor en parqueadero,""Hurto a automotores"",""Sin arma"",""Valle"",""Jamundí"",""Masculino"",""Adulto"""
"Delincuentes sustrajeron un vehículo de alta gama,""Hurto a automotores"",""Arma de fuego"",""Cundinamarca"",""Soacha"",""Masculino"",""Adulto"""
"Una persona reportó el hurto de su motocicleta,""Hurto a automotores"",""No reportado"",""Atlántico"",""Barranquilla"",""Femenino"",""Adulto"""
"Fue hurtado un vehículo frente a una vivienda,""Hurto a automotores"",""No reportado"",""Antioquia"",""Bello"",""Masculino"",""Adulto"""
"Se presentó el robo de un automotor en zona comercial,""Hurto a automotores"",""No reportado"",""Cauca"",""Popayán"",""Femenino"",""Adulto"""
"Un ciudadano denunció el hurto de su carro particular,""Hurto a automotores"",""No reportado"",""Cundinamarca"",""Tenjo"",""Masculino"",""Adulto"""
"Se reportó el hurto de una motocicleta mediante intimidación,""Hurto a automotores"",""Arma blanca"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Fue robado un vehículo en el sector residencial,""Hurto a automotores"",""No reportado"",""Valle"",""Andalucía"",""Femenino"",""Adulto"""
"El conductor fue interceptado en carretera y le robaron la carga,""Hurto - Piratería terrestre"",""No reportado"",""Valle"",""Buenaventura"""
"Un camión fue asaltado mientras transitaba por vía nacional,""Hurto - Piratería terrestre"",""No reportado"",""Cundinamarca"",""Guaduas"""
"Delincuentes detuvieron el vehículo en la vía y hurtaron la mercancía,""Hurto - Piratería terrestre"",""No reportado"",""Cundinamarca"",""Bogotá D.C."""
"Un grupo armado interceptó un tractocamión en carretera,""Hurto - Piratería terrestre"",""Arma de fuego"",""Cundinamarca"",""Soacha"""
"Fue asaltado un vehículo de carga en zona rural,""Hurto - Piratería terrestre"",""Arma blanca"",""Valle"",""Buenaventura"""
"El conductor fue intimidado con arma de fuego para robar el vehículo,""Hurto - Piratería terrestre"",""Arma de fuego"",""Antioquia"",""Titiribí"""
"Se presentó asalto a un automóvil en vía intermunicipal,""Hurto - Piratería terrestre"",""Arma de fuego"",""Cauca"",""Puerto Tejada"""
"Delincuentes montaron retén ilegal y robaron el camión,""Hurto - Piratería terrestre"",""Arma de fuego"",""Cundinamarca"",""Cota"""
"Un bus intermunicipal fue asaltado en carretera,""Hurto - Piratería terrestre"",""Arma blanca"",""Cundinamarca"",""Puerto Salgar"""
"El vehículo fue interceptado por sujetos armados,""Hurto - Piratería terrestre"",""Arma de fuego"",""Cundinamarca"",""Madrid"""
"Transportador fue víctima de piratería terrestre en la vía,""Hurto - Piratería terrestre"",""Arma de fuego"",""Cauca"",""Mercaderes"""
"Se presentó asalto a camión repartidor en desplazamiento,""Hurto - Piratería terrestre"",""Arma de fuego"",""Magdalena"",""Guamal"""
"Delincuentes bloquearon la vía para robar un automotor,""Hurto - Piratería terrestre"",""Contundente"",""Cundinamarca"",""Funza"""
"Los ocupantes del vehículo fueron intimidarlos para cometer el hurto,""Hurto - Piratería terrestre"",""Arma de fuego"",""Cundinamarca"",""Bogotá D.C."""
"Un vehículo fue robado tras ser interceptado en carretera,""Hurto - Piratería terrestre"",""No reportado"",""Cauca"",""Piendamó"""
"Un motociclista resultó herido tras chocar contra un automóvil,""Lesiones en accidente de tránsito"",""Motocicleta"",""Tolima"",""Guamo"""
"Dos personas sufrieron lesiones en un accidente vial,""Lesiones en accidente de tránsito"",""Vehículo"",""Tolima"",""Fresno"""
"Un peatón fue atropellado y quedó lesionado,""Lesiones en accidente de tránsito"",""Vehículo"",""Norte de Santander"",""Cúcuta"""
"Se presentó accidente entre dos motos con personas heridas,""Lesiones en accidente de tránsito"",""Motocicleta"",""Tolima"",""Venadillo"""
"Una mujer resultó lesionada en un siniestro de tránsito,""Lesiones en accidente de tránsito"",""Vehículo"",""Tolima"",""Ibagué"""
"Un ciclista fue impactado por un automóvil,""Lesiones en accidente de tránsito"",""Bicicleta"",""Caldas"",""Manizales"""
"Dos ocupantes de un vehículo resultaron heridos tras volcamiento,""Lesiones en accidente de tránsito"",""Vehículo"",""Tolima"",""Líbano"""
"Se reportaron personas lesionadas tras choque múltiple,""Lesiones en accidente de tránsito"",""No reportado"",""Atlántico"",""Galapa"""
"Un hombre sufrió lesiones en accidente de tránsito,""Lesiones en accidente de tránsito"",""Vehículo"",""Tolima"",""Espinal"""
"Dos personas resultaron heridas en accidente entre moto y carro,""Lesiones en accidente de tránsito"",""Motocicleta"",""Atlántico"",""Sabanagrande"""
"Motociclista herido tras colisionar con un camión,""Lesiones en accidente de tránsito"",""Motocicleta"",""Tolima"",""Cajamarca"""
"Vehículo salió de la vía y dejó una persona lesionada,""Lesiones en accidente de tránsito"",""Vehículo"",""Córdoba"",""Los Córdobas"""
"Un menor resultó herido en accidente de tránsito,""Lesiones en accidente de tránsito"",""Vehículo"",""Tolima"",""Flandes"""
"Dos motociclistas presentaron lesiones tras caer en la vía,""Lesiones en accidentede tránsito"",""Motocicleta"",""Norte de Santander"",""El Zulia"""
"Un peatón resultó herido por vehículo en zona urbana,""Lesiones en accidente de tránsito"",""Vehículo"",""Tolima"",""Venadillo"""
"Un hombre fue atacado con arma blanca y resultó herido,""Lesiones personales"",""Arma blanca"",,""Medellín"""
"Una mujer sufrió quemaduras tras ser atacada con ácido,""Lesiones personales"",""Sustancia corrosiva"",,""Bogotá"""
"Un menor resultó lesionado por agua caliente durante una agresión,""Lesiones personales"",""Agente térmico"",,""Barranquilla"""
"Un ciudadano fue herido con objeto contundente,""Lesiones personales"",""Objeto contundente"",,""Manizales"""
"Una persona fue lesionada con arma traumática en riña,""Lesiones personales"",""Arma traumática"",,""Rionegro"""
"Un hombre resultó herido por mordedura de perro durante una agresión,""Lesiones personales"",""Animal"",,""Yarumal"""
"Víctima presentó intoxicación por licor adulterado,""Lesiones personales"",""Sustancia tóxica"",,""Ocaña"""
"Un joven fue herido con arma de fuego en vía pública,""Lesiones personales"",""Arma de fuego"",,""Sincelejo"""
"Una mujer fue lesionada por jeringa en transporte público,""Lesiones personales"",""Objeto punzante"",,""Bogotá"""
"Persona sufrió quemaduras con combustible durante ataque,""Lesiones personales"",""Sustancia inflamable"",,""Guarne"""
"Un ciudadano fue lesionado tras explosión de artefacto,""Lesiones personales"",""Explosivo"",,""Cali"""
"Un menor resultó herido tras ingerir alimentos vencidos,""Lesiones personales"",""Sustancia tóxica"",,""Mariquita"""
"Un adulto fue lesionado por gases tóxicos en su vivienda,""Lesiones personales"",""Gas tóxico"",,""Sardinata"""
"Víctima sufrió intoxicación por medicamentos,""Lesiones personales"",""Sustancia farmacológica"",,""Tolima"""
"Un motociclista fue embestido intencionalmente causando lesiones,""Lesiones personales"",""Vehículo"",,""Pore"""
"Una persona fue herida sin empleo de armas durante una riña,""Lesiones personales"",""Sin arma"",,""Sabana de Torres"""
"Una mujer fue atacada con cinturón causándole lesiones,""Lesiones personales"",""Objeto flexible"",,""Calamar"""
"Un hombre resultó herido por pólvora durante una agresión,""Lesiones personales"",""Explosivo pirotécnico"",,""Barbosa"""
"Menor sufrió lesiones por sustancia tóxica administrada,""Lesiones personales"",""Sustancia tóxica"",,""Anzoátegui"""
"Dos personas resultaron heridas por ataque con arma blanca,""Lesiones personales"",""Arma blanca"",,""Rionegro"""
